                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                    inf,                0.28668,                0.88832,                 0.9949,                0.99054,                0.99447,                0.99427,                0.07198,                0.17566,                0.17596,               0.006535,               0.006535,               0.006535
                     38,                    inf,                0.28079,                0.88784,                 0.9947,                 0.9907,                0.99445,                0.99417,                0.07206,                0.18171,                0.17663,               0.006436,               0.006436,               0.006436
                     39,                0.05861,                0.28123,                0.88778,                0.99483,                 0.9911,                0.99444,                0.99424,                0.07227,                0.18899,                0.17657,               0.006337,               0.006337,               0.006337
                     40,                0.05798,                 0.2801,                 0.8871,                 0.9947,                0.99087,                0.99445,                0.99432,                0.07352,                0.19824,                0.17757,               0.006238,               0.006238,               0.006238
                     41,                0.05747,                0.28095,                0.88785,                0.99466,                0.99097,                0.99447,                0.99437,                0.07481,                0.20205,                0.17803,               0.006139,               0.006139,               0.006139
                     42,                0.05712,                0.27257,                0.88754,                0.99506,                0.99093,                0.99451,                 0.9944,                0.07635,                0.20621,                0.17922,                0.00604,                0.00604,                0.00604
                     43,                0.05636,                0.27196,                0.88751,                0.99521,                 0.9907,                0.99448,                0.99439,                 0.0772,                 0.2078,                 0.1801,               0.005941,               0.005941,               0.005941
                     44,                0.05683,                0.27087,                0.88796,                0.99522,                0.99072,                0.99447,                0.99434,                 0.0781,                0.20848,                0.18079,               0.005842,               0.005842,               0.005842
                     45,                 0.0569,                0.26587,                0.88742,                0.99549,                0.99061,                0.99448,                0.99424,                0.07925,                0.21364,                0.18127,               0.005743,               0.005743,               0.005743
                     46,                0.05627,                0.26849,                0.88738,                0.99529,                0.99059,                0.99445,                0.99427,                0.08125,                0.21838,                0.18299,               0.005644,               0.005644,               0.005644
                     47,                0.05505,                0.26287,                0.88702,                0.99522,                 0.9907,                0.99444,                0.99424,                0.08287,                0.21622,                0.18467,               0.005545,               0.005545,               0.005545
                     48,                0.05443,                0.26116,                0.88751,                0.99529,                0.99078,                0.99445,                0.99431,                0.08275,                0.21153,                0.18478,               0.005446,               0.005446,               0.005446
                     49,                    inf,                0.25914,                0.88756,                0.99582,                0.99089,                0.99445,                0.99431,                0.08386,                0.21622,                0.18573,               0.005347,               0.005347,               0.005347
                     50,                0.05435,                0.25478,                0.88689,                0.99613,                0.99042,                0.99444,                0.99422,                0.08445,                0.21872,                0.18657,               0.005248,               0.005248,               0.005248
                     51,                    inf,                0.25477,                 0.8871,                0.99551,                0.99089,                0.99443,                0.99418,                0.08487,                0.21965,                0.18653,               0.005149,               0.005149,               0.005149
                     52,                0.05328,                0.25098,                0.88712,                0.99573,                0.99086,                0.99444,                0.99417,                0.08578,                0.22372,                 0.1872,                0.00505,                0.00505,                0.00505
                     53,                0.05258,                0.24659,                0.88664,                0.99592,                0.99119,                0.99447,                0.99419,                0.08681,                0.22594,                0.18771,               0.004951,               0.004951,               0.004951
                     54,                0.05248,                 0.2452,                0.88647,                 0.9958,                0.99131,                0.99447,                0.99422,                0.08706,                0.22452,                0.18769,               0.004852,               0.004852,               0.004852
                     55,                0.05146,                0.24265,                0.88748,                0.99591,                0.99136,                0.99451,                0.99433,                0.08662,                0.22441,                0.18561,               0.004753,               0.004753,               0.004753
                     56,                0.05138,                0.24116,                0.88621,                0.99608,                 0.9917,                0.99455,                0.99432,                0.08692,                0.22282,                0.18423,               0.004654,               0.004654,               0.004654
                     57,                   0.05,                0.23798,                0.88594,                0.99619,                0.99169,                0.99456,                0.99434,                0.08871,                0.21934,                0.18397,               0.004555,               0.004555,               0.004555
                     58,                    inf,                0.23868,                0.88678,                0.99616,                0.99176,                0.99457,                0.99438,                0.08992,                0.21692,                0.18238,               0.004456,               0.004456,               0.004456
                     59,                0.04921,                0.23449,                 0.8866,                0.99535,                0.99271,                0.99458,                0.99439,                0.09102,                0.21858,                0.18184,               0.004357,               0.004357,               0.004357
