                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22792,                 2.4626,                0.95549,                 0.6408,                0.71906,                0.74209,                0.73592,                0.12451,                 1.0497,                0.25832,              0.0033321,              0.0033321,              0.0033321
                      2,                0.18844,                 1.0998,                0.91589,                0.81826,                0.82748,                0.88843,                0.86791,                0.24354,                0.88911,                0.45549,              0.0065995,              0.0065995,              0.0065995
                      3,                0.20599,                 0.9647,                 0.9151,                0.89595,                0.88934,                 0.9601,                0.92029,                0.31687,                0.98241,                 0.6953,              0.0098008,              0.0098008,              0.0098008
                      4,                0.18756,                0.86967,                0.91052,                0.91241,                0.90731,                0.96313,                0.91271,                 0.2956,                0.91265,                0.76624,               0.009703,               0.009703,               0.009703
                      5,                 0.1568,                0.73252,                0.90339,                0.94395,                 0.9493,                0.98289,                 0.9191,                0.33792,                0.76055,                0.82048,               0.009703,               0.009703,               0.009703
                      6,                0.13926,                0.65235,                 0.9009,                0.95047,                0.96984,                 0.9881,                0.92639,                0.34237,                0.68523,                0.82281,               0.009604,               0.009604,               0.009604
                      7,                0.12801,                0.59663,                0.89832,                0.96666,                0.97506,                0.99039,                0.94309,                0.34345,                0.61519,                0.91097,               0.009505,               0.009505,               0.009505
                      8,                0.12101,                 0.5654,                0.89741,                0.97158,                0.97443,                 0.9911,                 0.9462,                0.31361,                0.58749,                0.86617,               0.009406,               0.009406,               0.009406
                      9,                0.11397,                0.53358,                0.89564,                0.97228,                0.97983,                0.99196,                0.94006,                0.34564,                0.60125,                0.87695,               0.009307,               0.009307,               0.009307
                     10,                0.10931,                0.51435,                0.89501,                0.97598,                0.98733,                0.99295,                0.93966,                0.35044,                0.61739,                0.89707,               0.009208,               0.009208,               0.009208
                     11,                0.10545,                0.50383,                0.89478,                0.98293,                0.97883,                0.99284,                0.94327,                0.31269,                0.58504,                0.85064,               0.009109,               0.009109,               0.009109
                     12,                0.10238,                0.48904,                0.89439,                0.97847,                0.98514,                0.99273,                0.94683,                0.26346,                0.54468,                0.81412,                0.00901,                0.00901,                0.00901
                     13,                0.09894,                0.47008,                0.89351,                0.97689,                0.98123,                0.99252,                0.94937,                0.28516,                0.50802,                0.79514,               0.008911,               0.008911,               0.008911
