                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.06855,                0.35545,                0.88961,                0.98797,                0.98931,                0.99415,                0.99415,                0.07096,                0.20972,                0.58146,               0.006535,               0.006535,               0.006535
                     38,                 0.0679,                 0.3503,                0.88916,                 0.9884,                0.98905,                0.99415,                0.99414,                0.07128,                0.20783,                0.58132,               0.006436,               0.006436,               0.006436
                     39,                0.06647,                0.34403,                0.88903,                0.98805,                0.99003,                0.99414,                0.99414,                 0.0733,                0.20742,                0.58195,               0.006337,               0.006337,               0.006337
                     40,                0.06549,                0.34183,                0.88808,                0.98826,                0.99006,                0.99412,                0.99412,                0.07389,                0.20697,                0.58202,               0.006238,               0.006238,               0.006238
                     41,                0.06493,                0.34262,                 0.8888,                0.98819,                0.99049,                0.99413,                0.99411,                0.07489,                0.20972,                0.58235,               0.006139,               0.006139,               0.006139
                     42,                 0.0639,                0.33605,                0.88879,                0.98832,                0.99034,                 0.9941,                0.99406,                0.07662,                0.21376,                0.58321,                0.00604,                0.00604,                0.00604
                     43,                0.06434,                0.33668,                 0.8888,                0.98785,                0.99047,                0.99414,                0.99408,                0.07762,                0.21427,                0.58388,               0.005941,               0.005941,               0.005941
                     44,                0.06386,                0.33339,                0.88857,                 0.9883,                0.99041,                0.99415,                0.99414,                0.07793,                 0.2151,                0.58407,               0.005842,               0.005842,               0.005842
                     45,                0.06223,                0.32718,                0.88824,                0.98939,                0.99029,                0.99416,                0.99361,                0.07671,                0.21544,                0.58314,               0.005743,               0.005743,               0.005743
                     46,                0.06243,                0.33342,                0.88838,                 0.9892,                 0.9899,                0.99415,                 0.9935,                 0.0752,                0.21623,                0.58225,               0.005644,               0.005644,               0.005644
                     47,                0.06153,                0.32906,                0.88815,                0.98941,                 0.9899,                0.99416,                0.99355,                0.07405,                 0.2132,                0.58155,               0.005545,               0.005545,               0.005545
                     48,                0.06098,                0.32875,                0.88837,                0.98943,                0.99036,                0.99421,                0.99352,                0.07432,                0.21188,                0.58168,               0.005446,               0.005446,               0.005446
                     49,                    inf,                0.32621,                0.88872,                0.98985,                0.99063,                 0.9942,                0.99352,                 0.0732,                0.20994,                0.58141,               0.005347,               0.005347,               0.005347
                     50,                0.06077,                0.32142,                0.88758,                0.98972,                0.99098,                0.99421,                0.99343,                0.07256,                 0.2054,                0.58116,               0.005248,               0.005248,               0.005248
                     51,                0.05972,                0.32286,                0.88734,                0.98968,                0.99114,                 0.9942,                0.99324,                0.07277,                  0.204,                0.58143,               0.005149,               0.005149,               0.005149
                     52,                    inf,                0.31478,                0.88828,                0.98998,                 0.9904,                0.99423,                0.99343,                0.07262,                0.20087,                0.58137,                0.00505,                0.00505,                0.00505
                     53,                0.05812,                0.30721,                0.88752,                0.99116,                 0.9899,                0.99428,                0.99337,                0.07403,                0.19856,                0.58215,               0.004951,               0.004951,               0.004951
                     54,                0.05784,                 0.3048,                0.88715,                0.99131,                0.98983,                0.99429,                0.99302,                0.07566,                0.19967,                0.58312,               0.004852,               0.004852,               0.004852
                     55,                0.05759,                0.30575,                0.88844,                0.99161,                0.98958,                0.99433,                0.99294,                0.07548,                0.19787,                0.58315,               0.004753,               0.004753,               0.004753
                     56,                0.05742,                0.30156,                0.88739,                0.99171,                0.98976,                0.99434,                0.99305,                0.07498,                0.19487,                0.58295,               0.004654,               0.004654,               0.004654
                     57,                    inf,                 0.3017,                0.88686,                0.99106,                0.99044,                0.99436,                0.99277,                0.07637,                0.19343,                0.58393,               0.004555,               0.004555,               0.004555
                     58,                0.05627,                0.29828,                0.88779,                0.99191,                 0.9895,                0.99436,                0.99294,                0.07732,                0.19126,                 0.5845,               0.004456,               0.004456,               0.004456
                     59,                    inf,                0.29297,                0.88783,                0.99189,                0.98988,                 0.9944,                 0.9934,                0.07781,                0.18927,                0.58475,               0.004357,               0.004357,               0.004357
                     60,                0.05495,                0.28993,                0.88737,                0.99163,                0.99023,                0.99442,                0.99374,                0.07645,                0.18655,                0.58426,               0.004258,               0.004258,               0.004258
                     61,                    inf,                0.29004,                0.88658,                 0.9918,                0.99013,                0.99442,                0.99352,                  0.077,                0.18709,                0.58448,               0.004159,               0.004159,               0.004159
                     62,                    inf,                  0.287,                0.88645,                0.99208,                0.99007,                0.99442,                0.99368,                 0.0772,                0.18767,                0.58469,                0.00406,                0.00406,                0.00406
                     63,                0.05367,                0.29178,                0.88772,                0.99266,                0.98967,                0.99444,                0.99378,                0.07664,                0.18675,                0.58476,               0.003961,               0.003961,               0.003961
                     64,                0.05314,                0.28243,                0.88753,                0.99222,                0.98984,                0.99445,                0.99392,                 0.0761,                0.18404,                0.58473,               0.003862,               0.003862,               0.003862
                     65,                    inf,                0.28084,                0.88716,                0.99247,                0.98971,                0.99444,                0.99398,                0.07775,                0.18655,                0.58588,               0.003763,               0.003763,               0.003763
                     66,                0.05166,                0.27995,                0.88746,                 0.9926,                0.99039,                0.99447,                0.99374,                0.07945,                0.18775,                0.58704,               0.003664,               0.003664,               0.003664
                     67,                0.05089,                0.27824,                0.88642,                0.99295,                0.99048,                0.99448,                0.99359,                0.08157,                0.19002,                0.58797,               0.003565,               0.003565,               0.003565
