                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.24266,                 1.5298,                0.97043,                0.89024,                0.86715,                0.93551,                0.92249,                0.12661,                0.62783,                0.20555,              0.0033321,              0.0033321,              0.0033321
                      2,                0.18584,                0.76429,                0.91201,                0.88459,                0.92556,                 0.9483,                0.94116,                0.10934,                0.37607,                0.18089,              0.0065995,              0.0065995,              0.0065995
                      3,                0.20264,                0.77313,                 0.9124,                0.89257,                0.91414,                0.95744,                0.94407,                0.20089,                 1.8209,                0.20988,              0.0098008,              0.0098008,              0.0098008
                      4,                 0.1838,                0.73239,                0.90751,                0.95457,                0.96045,                0.98333,                0.96835,                0.21352,                0.57102,                0.23932,               0.009703,               0.009703,               0.009703
                      5,                0.15175,                0.61882,                0.90088,                0.96616,                0.96944,                0.98866,                0.97544,                0.18039,                0.38379,                0.22038,               0.009703,               0.009703,               0.009703
                      6,                0.13373,                0.55599,                0.89771,                0.97509,                0.97304,                0.99093,                0.97895,                0.15209,                0.33878,                0.20812,               0.009604,               0.009604,               0.009604
                      7,                0.12178,                0.51209,                0.89568,                0.97415,                0.97476,                0.99141,                0.98072,                0.13927,                0.30362,                0.17965,               0.009505,               0.009505,               0.009505
                      8,                 0.1147,                0.48708,                0.89405,                0.98002,                0.98055,                0.99151,                0.97757,                0.17857,                0.30842,                0.20614,               0.009406,               0.009406,               0.009406
                      9,                0.10811,                0.46086,                0.89358,                0.97189,                0.98305,                0.99201,                0.97923,                0.16243,                0.29131,                0.19911,               0.009307,               0.009307,               0.009307
                     10,                0.10333,                0.44265,                0.89337,                0.98641,                0.98302,                0.99329,                0.97802,                0.16682,                0.34526,                0.21344,               0.009208,               0.009208,               0.009208
                     11,                0.09907,                0.42935,                0.89246,                0.98457,                0.98251,                0.99306,                0.97508,                    0.2,                 0.3222,                0.25881,               0.009109,               0.009109,               0.009109
                     12,                0.09578,                0.41482,                0.89256,                0.98641,                0.98833,                0.99356,                0.98112,                0.17577,                0.34318,                0.22617,                0.00901,                0.00901,                0.00901
                     13,                0.09327,                0.40175,                0.89142,                0.98478,                0.98606,                0.99335,                0.98304,                0.15899,                0.30977,                 0.2178,               0.008911,               0.008911,               0.008911
                     14,                0.09116,                0.39105,                0.89107,                0.98743,                0.98758,                0.99344,                0.98456,                0.14749,                0.32944,                0.19912,               0.008812,               0.008812,               0.008812
                     15,                 0.0888,                0.38397,                 0.8913,                0.98922,                0.98666,                0.99387,                0.98347,                0.14091,                0.28557,                0.18628,               0.008713,               0.008713,               0.008713
                     16,                0.08728,                0.37557,                0.89102,                0.99116,                0.98742,                0.99418,                0.98535,                0.13153,                0.28792,                 0.1789,               0.008614,               0.008614,               0.008614
                     17,                0.08583,                0.37081,                0.89079,                0.98749,                0.98997,                0.99397,                0.98094,                0.15091,                 0.2922,                0.19345,               0.008515,               0.008515,               0.008515
                     18,                0.08374,                0.36341,                0.89043,                0.98894,                0.99198,                 0.9941,                0.98365,                0.13934,                0.27396,                0.19004,               0.008416,               0.008416,               0.008416
                     19,                0.08222,                0.35836,                0.89042,                0.98945,                 0.9919,                 0.9941,                0.98576,                0.13478,                0.27597,                0.18993,               0.008317,               0.008317,               0.008317
                     20,                0.08064,                 0.3543,                0.89039,                0.99003,                 0.9907,                0.99413,                0.98463,                 0.1416,                0.28016,                0.19337,               0.008218,               0.008218,               0.008218
                     21,                0.07921,                0.34755,                0.89014,                0.98867,                0.99159,                0.99408,                0.98368,                0.14552,                0.28258,                0.19547,               0.008119,               0.008119,               0.008119
                     22,                0.07819,                0.34275,                 0.8894,                0.98851,                0.99136,                0.99411,                0.98396,                0.14621,                0.27681,                0.19722,                0.00802,                0.00802,                0.00802
                     23,                0.07728,                0.33559,                 0.8895,                0.98709,                0.99277,                0.99411,                0.98368,                0.14878,                0.27595,                0.19889,               0.007921,               0.007921,               0.007921
                     24,                 0.0765,                0.33354,                 0.8889,                0.98848,                 0.9921,                0.99414,                0.98423,                0.15034,                0.28296,                0.19895,               0.007822,               0.007822,               0.007822
                     25,                0.07592,                0.32921,                0.88897,                0.98912,                0.99195,                0.99407,                0.98485,                0.14931,                0.28208,                 0.1971,               0.007723,               0.007723,               0.007723
                     26,                0.07516,                0.32735,                0.88929,                 0.9895,                 0.9921,                0.99408,                 0.9858,                0.15061,                0.28924,                0.19586,               0.007624,               0.007624,               0.007624
                     27,                 0.0735,                0.32496,                0.88942,                0.99085,                0.99081,                0.99419,                0.98567,                 0.1522,                0.29102,                0.19593,               0.007525,               0.007525,               0.007525
                     28,                0.07238,                0.31941,                0.88937,                0.99077,                0.99148,                0.99425,                0.98651,                0.15186,                0.28951,                0.19634,               0.007426,               0.007426,               0.007426
                     29,                0.07229,                0.31224,                0.88883,                0.99063,                0.99176,                0.99426,                0.98678,                0.15061,                0.28304,                 0.1974,               0.007327,               0.007327,               0.007327
